1ch,2ch,3ch,4ch,5ch,6ch,7ch,8ch,class
8.43,8.75,11.94,14.63,8.78,2.49,1.72,8.92,oya
8.44,8.75,11.85,14.56,8.62,2.52,1.83,9.6,oya
8.42,8.64,11.85,14.51,8.61,2.47,1.94,9.51,oya
8.42,8.65,12.42,14.52,8.3,2.43,1.95,8.01,oya
8.58,8.73,12.76,12.82,8.33,2.42,1.91,8.01,oya
9.21,8.95,13.66,14.44,8.28,2.39,1.96,7.74,oya
9.18,8.54,13.96,14.27,8.43,2.29,1.86,7.75,oya
9.3,8.59,13.75,14.4,8.44,2.33,1.82,7.91,oya
9.1,8.54,13.64,14.73,8.39,2.17,1.86,7.65,oya
8.65,10.01,13.64,14.04,8.72,2.17,1.87,7.98,oya
8.63,9.55,14.12,14.04,8.66,2.2,1.75,7.99,oya
9.08,10.12,13.99,14.15,8.16,2.2,1.73,8.61,oya
8.83,10.14,13.73,14.42,6.52,2.28,2.09,8.84,oya
7.94,10.29,14.29,14.39,6.99,2.1,2.09,8.06,oya
7.94,10.22,14.53,13.62,6.11,2.14,2.07,8.37,oya
8.11,10.09,14.52,14.48,6.38,2.22,2.18,8.17,oya
8.26,9.97,10.67,14.1,6.54,2.45,2.21,8.4,oya
8.18,9.97,10.78,15.09,6.72,2.36,2.21,8.42,oya
8.04,10.09,10.63,14.1,6.6,2.26,2.04,7.4,oya
7.74,10.18,10.63,12.85,7.95,2.51,2.04,7.39,oya
7.34,8.63,12.74,12.89,8.19,2.54,2.14,8.3,oya
7.33,9.8,12.68,13.31,8.17,2.54,2.09,7.58,oya
7.44,9.73,12.59,13.84,8.17,2.59,1.97,7.96,oya
7.49,9.82,12.01,13.84,8.36,2.67,1.97,8.06,oya
7.29,9.79,11.83,13.9,8.34,2.68,2.01,8.1,oya
6.5,9.84,10.76,12.18,8.41,2.67,2.07,8.07,oya
6.5,10.04,10.96,12.1,8.01,2.53,2.06,8.08,oya
6.22,10,10.96,11.93,8.03,2.49,2.06,8.13,oya
6.12,10.06,11.39,11.59,8.11,2.52,2.12,8.13,oya
5.89,8.37,11.56,12.27,7.73,2.55,2.12,7.83,oya
5.92,8.33,11.14,12.3,8.38,2.6,2.12,7.93,oya
4.88,7.71,11.75,13.06,8.57,2.79,2.12,7.08,oya
4.71,9.35,11.65,12.73,8.57,2.65,1.77,8.01,oya
4.61,9.5,11.12,12.77,8.14,2.68,1.83,7.93,oya
4.94,9.58,10.8,12.98,8.14,2.65,1.84,7.61,oya
4.94,9.63,10.82,12.09,7.63,2.53,1.73,7.66,oya
4.88,9.75,11.14,13.03,10.66,2.27,1.67,7.33,oya
4.83,9.77,10.98,11.77,10.88,2.53,1.72,7.51,oya
4.77,9.71,11.09,11.56,10.88,2.54,1.72,7.51,oya
5,9.69,11,11.73,9.98,2.28,1.72,7.53,oya
5,10.05,8.35,11.68,9.79,2.33,1.64,6.36,oya
5,8.99,8.37,11.18,9.95,2.3,1.58,6.28,oya
5.32,9.09,12.91,10.28,10.11,2.3,1.6,5.89,oya
5.24,9.03,13.65,13.61,9.97,2.2,1.58,5.74,oya
5.68,8.96,13.62,13.61,10.21,2.46,1.76,5.67,oya
5.68,8.75,13.62,13.87,11.09,2.46,1.64,5.58,oya
5.65,8.75,13.14,16.78,11.33,2.46,1.64,6.15,oya
5.63,8.73,13.29,17.31,11.67,2.7,1.69,6.04,oya
5.63,8.68,13.24,17.41,11.6,2.67,1.69,6.04,oya
5.61,8.91,13.09,17.01,11.6,2.72,1.69,5.97,oya
5.75,9.29,12.91,17.01,11.37,2.65,1.7,6.95,oya
5.77,9.29,12.29,16.5,11.28,2.4,1.72,6.95,oya
5.77,7.59,12.41,17.04,11.77,2.41,1.82,5.51,oya
5.43,7.27,13.04,17.04,11.78,2.41,1.82,5.58,oya
5.12,7.14,13.22,16.98,11.73,2.42,1.92,5.59,oya
5.05,7.1,13.29,16.94,11.71,2.38,1.92,5.68,oya
5.19,6.93,13.09,16.7,9.18,2.42,1.97,5.75,oya
5.58,6.86,13.22,16.81,9.12,2.16,2.04,7.36,oya
5.99,7,13.42,16.81,8.99,2.14,2.04,7.41,oya
5.82,6.94,13.63,16.7,8.97,2.16,2.04,7.41,oya
5.82,5.31,13.63,17.4,8.96,2.06,2.18,7.46,oya
5.97,5.14,13.63,19.05,8.8,2.06,2.18,7.5,oya
5.65,5,9.48,19,8.69,1.95,2.17,7.42,oya
6.35,4.93,8.47,16.77,8.9,1.96,2.17,8.44,oya
5.95,5.17,8.28,16.44,8.76,1.63,1.99,8.46,oya
5.91,5.05,9.86,17.01,7.58,1.69,1.97,8.64,oya
5.89,5.15,9.86,14.03,7.1,2.14,2.17,8.26,oya
5.88,6.26,10.02,13.44,6.61,1.84,2.13,8.15,oya
7.39,6.78,9.6,13.3,6.61,1.84,2.04,9.75,oya
7.46,6.48,9.91,13.23,6.74,1.94,2.21,10.9,oya
7.46,6.1,10.09,13.38,6.47,1.94,2.21,10.76,oya
7.46,6.57,10.09,13.21,6.38,1.99,2.21,10.76,oya
7.69,6.63,12.51,13.7,5.59,1.99,2.21,10.91,oya
8.78,6.77,11.68,19.94,17.88,2.24,2.27,11.38,oya
8.85,8.11,11.47,20.74,17.92,2.32,2.18,12.06,oya
8.94,8.11,11.35,20.74,18.36,2.58,2.27,11.99,oya
8.77,8.22,11.97,20.59,19.2,2.69,2.24,12.55,oya
