3.84,2.79,13.49,15.24,4.69,3.15,2.47,2.93,3.0
6.72,2.82,13.5,15.21,4.49,3.13,2.7,2.94,3.0
7.41,2.92,13.56,15.21,4.75,3.44,3.02,2.94,3.0
7.59,2.32,12.9,15.23,5.04,3.19,3.02,1.96,3.0
7.83,2.32,12.91,15.25,5.47,3.13,3.08,1.92,3.0
7.93,2.27,12.74,15.4,7.82,3.25,3.11,1.88,3.0
8.36,2.28,12.21,15.26,7.9,3.26,3.29,1.88,3.0
8.7,2.28,12.21,13.43,8.01,3.16,3.24,1.76,3.0
12.14,2.28,12.21,11.37,7.97,3.16,3.28,1.83,3.0
12.39,2.28,12.14,10.55,8.11,3.04,3.3,1.79,3.0
12.4,2.28,12.13,10.59,8.85,3.14,3.28,1.73,3.0
12.58,2.37,12.14,10.53,8.84,3.33,3.31,1.77,3.0
13.51,2.29,11.86,10.93,8.93,3.31,3.49,1.72,3.0
13.62,2.26,11.86,10.97,8.75,3.24,3.54,1.7,3.0
14.46,2.2,8.49,10.21,9.46,3.23,3.63,1.76,3.0
14.6,2.14,8.35,9.18,9.49,3.22,3.73,1.77,3.0
14.88,2.14,7.95,10.93,10.49,3.2,3.71,1.73,3.0
15.42,2.13,7.82,13.44,10.77,2.98,3.71,1.66,3.0
15.61,2.17,5.71,13.32,10.59,2.81,3.76,1.52,3.0
15.67,7.47,4.4,11.73,10.6,2.81,3.71,1.52,3.0
17.92,7.42,4.47,11.68,10.94,2.77,3.68,1.57,3.0
17.1,7.53,4.51,11.71,10.97,2.85,3.62,1.69,3.0
16.83,7.49,4.22,11.72,10.86,2.42,3.39,1.69,3.0
16.54,7.6,4.32,12.2,10.68,2.47,3.28,1.63,3.0
16.46,7.6,4.28,12.26,10.46,2.47,3.21,1.61,3.0
16.59,7.64,4.23,11.98,8.94,2.3,3.19,1.61,3.0
16.4,7.67,4.23,12.47,8.9,2.3,3.02,1.53,3.0
16.21,7.69,4.31,13.51,9.33,2.3,2.94,1.53,3.0
17.22,7.75,4.29,13.55,9.2,2.31,2.87,1.45,3.0
17.08,7.86,4.4,13.58,8.98,2.31,2.85,1.58,3.0
17.07,7.83,4.43,13.58,8.23,2.14,2.85,1.6,3.0
16.96,7.81,4.52,13.8,8.42,1.88,2.85,1.67,3.0
16.29,7.78,4.49,13.46,8.42,1.88,2.63,1.69,3.0
17.36,7.81,4.62,13.44,9.15,2.6,2.55,1.75,3.0
16.72,7.79,4.62,13.56,8.45,2.68,2.43,1.7,3.0
16.6,7.78,4.62,13.56,9.52,2.77,2.26,1.75,3.0
16.4,7.84,4.46,12.24,8.43,2.77,2.25,1.86,3.0
16.11,7.89,4.36,10.15,8.09,2.72,1.86,1.92,3.0
15.94,7.89,4.34,10.09,8.12,2.58,1.63,1.97,3.0
15.99,3.44,4.4,9.84,8.15,2.49,1.75,2.04,3.0
13.42,3.44,4.46,9.85,7.69,2.53,1.76,2.0,3.0
13.33,3.17,4.81,9.82,7.69,2.45,1.52,1.94,3.0
13.38,4.13,5.13,10.02,7.95,2.41,1.45,1.97,3.0
13.44,4.01,5.0,9.38,8.38,2.32,1.5,1.99,3.0
13.37,4.02,4.96,9.42,8.41,2.32,1.57,2.0,3.0
13.17,3.98,5.08,10.05,8.32,2.33,1.61,2.04,3.0
13.14,3.98,5.2,10.82,9.04,2.37,1.55,1.99,3.0
16.69,4.08,4.96,9.46,8.3,2.33,1.57,2.04,3.0
13.15,3.92,5.08,9.56,9.53,2.37,1.55,1.99,3.0
13.13,3.75,4.91,9.39,11.92,2.36,1.6,1.88,3.0
13.12,3.81,5.07,9.37,12.13,2.36,1.6,1.92,3.0
13.26,4.03,5.52,9.14,12.07,2.32,1.53,1.86,3.0
13.24,4.03,5.55,9.12,12.26,2.36,1.53,1.84,3.0
11.72,4.0,5.45,9.17,11.87,1.55,1.58,1.79,3.0
11.62,4.0,5.45,8.94,12.51,1.4,1.52,1.77,3.0
11.62,4.09,5.38,8.95,12.86,1.22,1.38,1.72,3.0
11.55,4.02,5.29,8.95,12.86,1.22,1.4,1.64,3.0
11.18,3.92,4.98,8.15,12.84,1.32,1.4,1.52,3.0
11.14,3.92,5.0,8.24,13.3,1.3,1.41,1.45,3.0
11.53,3.88,4.84,8.38,13.59,1.32,1.24,1.45,3.0
11.51,3.89,4.84,8.51,13.69,1.24,1.24,1.45,3.0
13.32,4.04,4.67,9.58,14.6,1.66,1.26,1.38,3.0
13.26,3.02,4.32,9.43,14.46,1.72,1.28,1.38,3.0
13.46,2.9,4.59,9.42,14.32,1.83,1.28,1.52,3.0
13.46,2.94,4.59,9.31,14.79,1.83,1.22,1.64,3.0
13.65,2.9,4.54,8.62,14.82,1.87,1.16,1.58,3.0
14.11,2.9,4.54,7.85,14.38,1.87,1.18,1.58,3.0
10.02,2.67,4.62,7.8,14.38,1.91,1.34,1.53,3.0
