1.05,1.7,5.54,10.37,8.0,3.3,1.55,1.24,0.0
1.12,1.84,6.73,14.6,7.68,2.24,1.72,1.12,0.0
1.02,1.66,3.04,13.09,5.93,1.73,1.36,1.26,0.0
0.95,1.55,2.9,7.21,9.86,2.14,1.61,0.95,0.0
1.07,1.82,3.54,8.19,4.96,1.66,0.89,1.0,0.0
0.97,1.02,2.12,8.24,6.73,1.32,1.2,1.53,0.0
1.22,1.16,2.4,7.8,6.73,1.82,1.45,0.87,0.0
1.28,1.22,1.96,9.57,7.65,1.22,1.22,1.24,0.0
0.84,1.02,2.78,10.29,7.98,1.63,1.53,1.02,0.0
1.4,1.16,1.55,5.45,7.82,1.76,1.05,1.14,0.0
0.92,1.02,2.19,9.56,6.12,1.57,1.47,1.38,0.0
1.16,1.52,1.87,12.86,8.08,1.36,0.95,0.95,0.0
1.12,1.26,2.05,9.93,14.44,1.45,1.1,1.24,0.0
1.1,1.48,1.86,7.49,6.66,1.84,1.12,1.02,0.0
1.36,1.5,1.6,7.96,6.88,1.34,1.3,1.22,0.0
1.16,1.14,2.32,6.83,10.22,1.53,1.16,1.07,0.0
0.92,1.57,2.16,8.66,5.91,1.63,1.07,1.12,0.0
1.2,1.47,2.67,10.44,8.44,1.77,1.16,1.16,0.0
1.07,1.24,1.97,10.7,7.47,1.4,1.57,1.05,0.0
1.12,1.3,1.77,5.59,7.35,1.48,1.26,1.0,0.0
1.12,0.81,1.66,8.03,5.71,1.12,1.07,1.16,0.0
1.02,1.3,1.57,8.42,6.78,1.58,1.02,1.36,0.0
0.87,1.12,1.87,9.96,4.73,1.76,1.18,1.0,0.0
1.07,1.26,1.48,4.18,5.04,1.26,1.45,1.12,0.0
0.89,1.12,1.4,8.45,6.63,1.2,0.95,0.84,0.0
1.32,1.22,1.41,10.33,4.95,1.24,1.3,1.02,0.0
1.16,1.22,1.36,5.13,3.27,1.36,1.14,1.05,0.0
0.97,1.43,2.05,10.52,4.48,1.52,1.26,0.95,0.0
1.05,1.28,1.94,6.97,3.77,0.77,1.18,0.92,0.0
1.18,1.07,1.75,8.8,4.53,1.12,1.1,1.3,0.0
1.02,1.16,1.8,8.6,4.12,1.26,1.02,1.07,0.0
0.89,1.47,1.6,3.81,4.63,1.2,1.63,1.16,0.0
1.14,1.43,1.28,2.85,4.26,1.3,1.0,1.26,0.0
0.87,1.16,1.5,5.5,2.72,1.41,1.28,0.84,0.0
1.14,1.18,1.28,4.66,2.76,1.24,1.28,1.0,0.0
1.05,1.2,2.26,5.86,3.75,1.61,1.0,1.18,0.0
1.07,1.32,1.24,3.04,2.82,1.07,1.14,1.5,0.0
0.81,1.07,1.52,3.23,2.65,1.18,1.22,0.84,0.0
1.3,1.24,1.72,5.49,2.9,1.34,1.2,1.05,0.0
1.2,1.3,1.1,3.29,1.76,1.05,1.16,0.97,0.0
1.14,1.07,1.28,3.63,4.2,1.0,0.95,1.14,0.0
0.89,1.07,1.5,7.27,3.21,1.6,1.48,0.97,0.0
1.02,0.84,1.28,4.25,4.32,1.24,0.89,0.84,0.0
0.97,1.0,1.24,4.42,2.57,1.5,1.18,1.52,0.0
1.26,1.32,1.28,4.3,2.12,0.97,1.61,1.24,0.0
0.92,1.3,1.24,4.56,2.89,1.52,1.47,1.41,0.0
0.77,0.95,1.5,5.55,3.13,1.0,1.5,1.16,0.0
0.92,1.3,1.4,3.54,2.59,1.52,0.87,1.1,0.0
1.02,1.5,1.48,3.63,2.66,1.22,1.22,1.47,0.0
0.97,0.84,1.53,4.24,2.01,1.47,1.26,1.12,0.0
1.05,1.28,1.14,3.39,2.06,1.12,1.32,1.16,0.0
1.14,1.16,1.12,4.76,1.8,1.07,0.97,1.14,0.0
0.77,1.14,1.24,4.52,3.09,1.38,0.77,1.12,0.0
0.71,1.05,2.05,3.02,1.47,1.07,1.1,0.87,0.0
1.07,0.89,1.52,3.14,2.26,1.2,1.53,1.1,0.0
0.97,0.67,1.36,2.24,1.5,1.14,1.1,1.4,0.0
1.16,1.28,1.02,3.97,2.07,1.26,1.22,1.1,0.0
1.26,1.4,1.34,5.59,2.05,0.97,1.24,1.14,0.0
1.28,1.2,1.28,3.16,1.24,1.63,1.22,1.24,0.0
1.2,1.26,1.63,5.63,1.64,1.28,1.43,1.36,0.0
